j,nj
356,4.84E-01
357,4.82E-01
358,4.81E-01
359,4.77E-01
360,4.66E-01
361,4.65E-01
362,4.63E-01
363,4.62E-01
364,4.61E-01
365,4.59E-01
366,4.59E-01
367,4.58E-01
368,4.57E-01
369,4.57E-01
370,4.56E-01
371,4.55E-01
372,4.54E-01
373,4.54E-01
374,4.53E-01
375,4.53E-01
376,4.53E-01
377,4.52E-01
378,4.48E-01
379,4.48E-01
380,4.46E-01
381,4.45E-01
382,4.39E-01
383,4.39E-01
384,4.34E-01
385,4.26E-01
386,4.21E-01
387,4.11E-01
388,4.01E-01
389,3.99E-01
390,3.99E-01
391,3.98E-01
392,3.92E-01
393,3.73E-01
394,3.53E-01
395,3.53E-01
396,3.51E-01
397,3.51E-01
398,3.50E-01
399,3.50E-01
400,3.50E-01
401,3.49E-01
402,3.47E-01
403,3.46E-01
404,3.46E-01
405,3.45E-01
406,3.45E-01
407,3.44E-01
408,3.42E-01
409,3.41E-01
410,3.41E-01
411,3.40E-01
412,3.39E-01
413,3.38E-01
414,3.37E-01
415,3.37E-01
416,3.37E-01
417,3.35E-01
418,3.34E-01
419,3.33E-01
420,3.31E-01
421,3.30E-01
422,3.30E-01
423,3.28E-01
424,3.27E-01
425,3.26E-01
426,3.25E-01
427,3.24E-01
428,3.23E-01
429,3.22E-01
430,3.22E-01
431,3.22E-01
432,3.22E-01
433,3.21E-01
434,3.21E-01
435,3.21E-01
436,3.20E-01
437,3.20E-01
438,3.20E-01
439,3.18E-01
440,3.17E-01
441,3.16E-01
442,3.16E-01
443,3.15E-01
444,3.12E-01
445,3.11E-01
446,3.10E-01
447,3.07E-01
448,3.05E-01
449,3.05E-01
450,3.04E-01
451,3.03E-01
452,3.03E-01
453,3.02E-01
454,3.01E-01
455,3.00E-01
456,3.00E-01
457,2.99E-01
458,2.98E-01
459,2.96E-01
460,2.94E-01
461,2.93E-01
462,2.93E-01
463,2.92E-01
464,2.92E-01
465,2.92E-01
466,2.91E-01
467,2.91E-01
468,2.91E-01
469,2.90E-01
470,2.90E-01
471,2.90E-01
472,2.90E-01
473,2.90E-01
474,2.90E-01
475,2.89E-01
476,2.89E-01
477,2.89E-01
478,2.88E-01
479,2.88E-01
480,2.88E-01
481,2.87E-01
482,2.87E-01
483,2.87E-01
484,2.87E-01
485,2.87E-01
486,2.87E-01
487,2.86E-01
488,2.86E-01
489,2.86E-01
490,2.85E-01
491,2.85E-01
492,2.85E-01
493,2.81E-01
494,2.81E-01
495,2.80E-01
496,2.79E-01
497,2.79E-01
498,2.77E-01
499,2.76E-01
500,2.76E-01
501,2.75E-01
502,2.74E-01
503,2.72E-01
504,2.71E-01
505,2.69E-01
506,2.69E-01
507,2.69E-01
508,2.68E-01
509,2.68E-01
510,2.68E-01
511,2.68E-01
512,2.67E-01
513,2.67E-01
514,2.67E-01
515,2.67E-01
516,2.67E-01
517,2.67E-01
518,2.67E-01
519,2.67E-01
520,2.67E-01
521,2.67E-01
522,2.61E-01
523,2.60E-01
524,2.60E-01
525,2.60E-01
526,2.59E-01
527,2.59E-01
528,2.59E-01
529,2.59E-01
530,2.54E-01
531,2.53E-01
532,2.52E-01
533,2.48E-01
